chord,chord_repr
047060064067,B_3;C_5;E_5;G_5
050062066072,D_4;D_5;Gb_5;C_6
045062067071,A_3;D_5;G_5;B_5
047062069074,B_3;D_5;A_5;D_6
045060064072,A_3;C_5;E_5;C_6
050059066071,D_4;B_4;Gb_5;B_5
042057062074,Fs_3;A_4;D_5;D_6
050062067072,D_4;D_5;G_5;C_6
055062071,G_4;D_5;B_5
055062067071,G_4;D_5;G_5;B_5
043062065071,G_3;D_5;F_5;B_5
043059067074,G_3;B_4;G_5;D_6
052064067072,E_4;E_5;G_5;C_6
043059062067,G_3;B_4;D_5;G_5
055062069074,G_4;D_5;A_5;D_6
050064067071,D_4;E_5;G_5;B_5
048060064067,C_4;C_5;E_5;G_5
052064066072,E_4;E_5;Gb_5;C_6
047062067074,B_3;D_5;G_5;D_6
047062067071,B_3;D_5;G_5;B_5
050060066069,D_4;C_5;Gb_5;A_5
048064067069,C_4;E_5;G_5;A_5
050054062069,D_4;Gb_4;D_5;A_5
064,E_5
043062066071,G_3;D_5;Gb_5;B_5
047057067074,B_3;A_4;G_5;D_6
050054062071,D_4;Gb_4;D_5;B_5
052055059067,E_4;G_4;B_4;G_5
052064067071,E_4;E_5;G_5;B_5
050062066069,D_4;D_5;Gb_5;A_5
048059062067,C_4;B_4;D_5;G_5
042062069074,Fs_3;D_5;A_5;D_6
055062,G_4;D_5
048064069072,C_4;E_5;A_5;C_6
047060066069,B_3;C_5;Gb_5;A_5
043062067071,G_3;D_5;G_5;B_5
052059064067,E_4;B_4;E_5;G_5
042060069074,Fs_3;C_5;A_5;D_6
047060069074,B_3;C_5;A_5;D_6
043059064074,G_3;B_4;E_5;D_6
048062067074,C_4;D_5;G_5;D_6
052055064071,E_4;G_4;E_5;B_5
050059067071,D_4;B_4;G_5;B_5
045060066072,A_3;C_5;Gb_5;C_6
050059064067,D_4;B_4;E_5;G_5
054057062074,Gb_4;A_4;D_5;D_6
054062069074,Gb_4;D_5;A_5;D_6
045060066069,A_3;C_5;Gb_5;A_5
055059062067,G_4;B_4;D_5;G_5
052059066067,E_4;B_4;Gb_5;G_5
047059067074,B_3;B_4;G_5;D_6
052060064067,E_4;C_5;E_5;G_5
045062066072,A_3;D_5;Gb_5;C_6
062,D_5
052060,E_4;C_5
043059069074,G_3;B_4;A_5;D_6
