chord,chord_repr,idx,x,y
047060064067,B_3;C_5;E_5;G_5,0,33.87832,0.12070844
050062066072,D_4;D_5;Gb_5;C_6,1,33.82847,83.584465
045062067071,A_3;D_5;G_5;B_5,2,97.18162,-27.508072
047062069074,B_3;D_5;A_5;D_6,3,-18.979023,-31.273403
045060064072,A_3;C_5;E_5;C_6,4,-47.5766,-76.94437
050059066071,D_4;B_4;Gb_5;B_5,5,-80.94442,-51.475723
042057062074,Fs_3;A_4;D_5;D_6,6,35.98533,25.45233
050062067072,D_4;D_5;G_5;C_6,7,-1.5127221,52.998165
055062071,G_4;D_5;B_5,8,23.604782,-59.808014
055062067071,G_4;D_5;G_5;B_5,9,5.481252,-36.320583
043062065071,G_3;D_5;F_5;B_5,10,79.25642,16.028494
043059067074,G_3;B_4;G_5;D_6,11,-89.12881,9.823527
052064067072,E_4;E_5;G_5;C_6,12,38.02363,54.581028
043059062067,G_3;B_4;D_5;G_5,13,13.607624,20.635399
055062069074,G_4;D_5;A_5;D_6,14,-48.059406,5.7413187
050064067071,D_4;E_5;G_5;B_5,15,16.676933,68.592255
048060064067,C_4;C_5;E_5;G_5,16,9.874045,-86.22734
052064066072,E_4;E_5;Gb_5;C_6,17,56.890785,-10.048947
047062067074,B_3;D_5;G_5;D_6,18,-19.19518,11.607241
047062067071,B_3;D_5;G_5;B_5,19,39.78835,-20.300282
050060066069,D_4;C_5;Gb_5;A_5,20,-27.006138,-47.928036
048064067069,C_4;E_5;G_5;A_5,21,-3.094161,-12.362599
050054062069,D_4;Gb_4;D_5;A_5,22,-54.117756,-26.617115
064,E_5,23,59.184647,37.832245
043062066071,G_3;D_5;Gb_5;B_5,24,-64.52699,19.870579
047057067074,B_3;A_4;G_5;D_6,25,72.38136,58.773296
050054062071,D_4;Gb_4;D_5;B_5,26,-7.9428535,75.7999
052055059067,E_4;G_4;B_4;G_5,27,-23.980312,35.364822
052064067071,E_4;E_5;G_5;B_5,28,-57.890274,52.26444
050062066069,D_4;D_5;Gb_5;A_5,29,13.862989,1.9392711
048059062067,C_4;B_4;D_5;G_5,30,-16.803885,-72.469086
042062069074,Fs_3;D_5;A_5;D_6,31,-4.7361803,30.877766
055062,G_4;D_5,32,-87.633484,-13.064262
048064069072,C_4;E_5;A_5;C_6,33,59.085743,-59.879467
047060066069,B_3;C_5;Gb_5;A_5,34,27.704473,-37.237267
043062067071,G_3;D_5;G_5;B_5,35,-1.572813,7.3464327
052059064067,E_4;B_4;E_5;G_5,36,62.83183,-31.17927
042060069074,Fs_3;C_5;A_5;D_6,37,-21.384926,-8.963002
047060069074,B_3;C_5;A_5;D_6,38,-12.886682,-100.48761
043059064074,G_3;B_4;E_5;D_6,39,56.701115,12.662643
048062067074,C_4;D_5;G_5;D_6,40,-1.3251026,-53.876785
052055064071,E_4;G_4;E_5;B_5,41,82.50593,-50.202843
050059067071,D_4;B_4;G_5;B_5,42,46.686428,-47.593983
045060066072,A_3;C_5;Gb_5;C_6,43,18.748344,-17.247229
050059064067,D_4;B_4;E_5;G_5,44,101.15344,0.36435205
054057062074,Gb_4;A_4;D_5;D_6,45,-49.484802,-48.630203
054062069074,Gb_4;D_5;A_5;D_6,46,43.571518,-82.491264
045060066069,A_3;C_5;Gb_5;A_5,47,15.8380785,37.96632
055059062067,G_4;B_4;D_5;G_5,48,81.27369,-6.6478863
052059066067,E_4;B_4;Gb_5;G_5,49,75.24267,88.697685
047059067074,B_3;B_4;G_5;D_6,50,-38.156647,-13.655088
052060064067,E_4;C_5;E_5;G_5,51,-28.708637,56.937317
045062066072,A_3;D_5;Gb_5;C_6,52,-41.012356,32.406002
062,D_5,53,-41.017498,88.892845
052060,E_4;C_5,54,96.40638,53.37435
043059069074,G_3;B_4;A_5;D_6,55,77.84773,-82.76378
